Date,Time,Thread,Source,Category,Message
20200424,08:50:07.228,9340,DotNetHost,Info,.NET for AmiBroker (x86) - Free Edition, Version: 6.20.3.0
20200424,08:50:07.233,9340,DotNetHost,Info,OS version: 5.1.0, 
20200424,08:50:07.239,9340,DotNetHost,Info,AmiBroker version: 6.2
20200424,08:50:07.243,9340,DotNetHost,Info,CPU Capability: 1110/FPU
20200424,08:50:07.389,9340,DotNetHost,Info,Loading .NET runtime v4.0.30319.
20200424,08:50:10.208,9340,DotNetHost,Error,Failed to load the assembly w/hr 0x80070005.
20200424,08:50:10.256,9340,DotNetHost,Error,Starting DotNetHost plug-in failed.
20200424,08:50:10.260,9340,DotNetHost,Info,Start Diag and License Utility (dl.exe) to check possible cause of error.
