Date,Time,Thread,Source,Category,Message
20200502,16:00:05.895,16888,DotNetHost,Info,.NET for AmiBroker (x86) - Free Edition, Version: 6.20.3.0
20200502,16:00:05.897,16888,DotNetHost,Info,OS version: 5.1.0, 
20200502,16:00:05.897,16888,DotNetHost,Info,AmiBroker version: 6.2
20200502,16:00:05.898,16888,DotNetHost,Info,CPU Capability: 1110/FPU
20200502,16:00:05.911,16888,DotNetHost,Info,Loading .NET runtime v4.0.30319.
20200502,16:00:06.195,16888,DotNetHost,Error,Failed to load the assembly w/hr 0x80070005.
20200502,16:00:06.196,16888,DotNetHost,Error,Starting DotNetHost plug-in failed.
20200502,16:00:06.198,16888,DotNetHost,Info,Start Diag and License Utility (dl.exe) to check possible cause of error.
