Date,Time,Thread,Source,Category,Message
20200502,07:34:12.863,2576,DotNetHost,Info,.NET for AmiBroker (x86) - Free Edition, Version: 6.20.3.0
20200502,07:34:12.864,2576,DotNetHost,Info,OS version: 5.1.0, 
20200502,07:34:12.864,2576,DotNetHost,Info,AmiBroker version: 6.2
20200502,07:34:12.865,2576,DotNetHost,Info,CPU Capability: 1110/FPU
20200502,07:34:12.872,2576,DotNetHost,Info,Loading .NET runtime v4.0.30319.
20200502,07:34:13.160,2576,DotNetHost,Error,Failed to load the assembly w/hr 0x80070005.
20200502,07:34:13.161,2576,DotNetHost,Error,Starting DotNetHost plug-in failed.
20200502,07:34:13.162,2576,DotNetHost,Info,Start Diag and License Utility (dl.exe) to check possible cause of error.
